ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,sw
159825.SZ,20250724,0.769,0.767,0.771,0.76,0.771,0.002,0.2601,1468207.6,112722.284,801010.0
159825.SZ,20250723,0.771,0.775,0.783,0.767,0.769,-0.002,-0.2594,2189840.45,169543.692,801010.0
159825.SZ,20250722,0.754,0.754,0.772,0.752,0.771,0.017,2.2546,2379455.03,181569.535,801010.0
159825.SZ,20250721,0.741,0.741,0.755,0.74,0.754,0.013,1.7544,934514.8,69992.586,801010.0
159825.SZ,20250718,0.735,0.738,0.741,0.734,0.741,0.006,0.8163,711976.73,52606.143,801010.0
159825.SZ,20250717,0.732,0.731,0.739,0.731,0.735,0.003,0.4098,500984.0,36832.413,801010.0
159825.SZ,20250716,0.727,0.727,0.734,0.726,0.732,0.005,0.6878,1075395.0,78416.903,801010.0
159825.SZ,20250715,0.739,0.738,0.738,0.726,0.727,-0.012,-1.6238,894858.0,65376.207,801010.0
159825.SZ,20250714,0.738,0.738,0.742,0.736,0.739,0.001,0.1355,446981.0,33042.638,801010.0
159825.SZ,20250711,0.733,0.733,0.743,0.733,0.738,0.005,0.6821,803655.0,59338.811,801010.0
159825.SZ,20250710,0.732,0.736,0.738,0.729,0.733,0.001,0.1366,664898.02,48652.238,801010.0
159825.SZ,20250709,0.73,0.73,0.737,0.73,0.732,0.002,0.274,912864.1,66965.742,801010.0
159825.SZ,20250708,0.728,0.728,0.73,0.723,0.73,0.002,0.2747,383864.0,27917.096,801010.0
159825.SZ,20250707,0.729,0.727,0.729,0.723,0.728,-0.001,-0.1372,431081.0,31347.261,801010.0
159825.SZ,20250704,0.732,0.731,0.732,0.725,0.729,-0.003,-0.4098,553024.0,40286.724,801010.0
159825.SZ,20250703,0.726,0.727,0.734,0.725,0.732,0.006,0.8264,932303.01,68043.77,801010.0
159825.SZ,20250702,0.721,0.719,0.726,0.719,0.726,0.005,0.6935,550112.0,39795.031,801010.0
159825.SZ,20250701,0.717,0.714,0.721,0.714,0.721,0.004,0.5579,513682.0,36923.185,801010.0
159825.SZ,20250630,0.714,0.717,0.717,0.711,0.717,0.003,0.4202,621469.27,44325.99,801010.0
159825.SZ,20250627,0.711,0.713,0.717,0.711,0.714,0.003,0.4219,482228.0,34459.382,801010.0
159825.SZ,20250626,0.714,0.713,0.715,0.71,0.711,-0.003,-0.4202,432626.0,30796.96,801010.0
159825.SZ,20250625,0.712,0.713,0.714,0.707,0.714,0.002,0.2809,623855.0,44344.505,801010.0
159825.SZ,20250624,0.705,0.706,0.714,0.706,0.712,0.007,0.9929,606963.0,43135.215,801010.0
159825.SZ,20250623,0.708,0.707,0.708,0.701,0.705,-0.003,-0.4237,634902.0,44681.407,801010.0
159825.SZ,20250620,0.707,0.707,0.711,0.703,0.708,0.001,0.1414,259761.0,18396.948,801010.0
159825.SZ,20250619,0.713,0.715,0.715,0.705,0.707,-0.006,-0.8415,1432099.0,101212.421,801010.0
159825.SZ,20250618,0.718,0.717,0.72,0.712,0.713,-0.005,-0.6964,378389.0,27045.878,801010.0
159825.SZ,20250617,0.719,0.719,0.726,0.718,0.718,-0.001,-0.1391,318840.0,22968.775,801010.0
159825.SZ,20250616,0.723,0.722,0.724,0.717,0.719,-0.004,-0.5533,624510.0,45002.443,801010.0
159825.SZ,20250613,0.728,0.725,0.73,0.721,0.723,-0.005,-0.6868,667140.13,48266.749,801010.0
159825.SZ,20250612,0.731,0.729,0.729,0.723,0.728,-0.003,-0.4104,590490.02,42847.984,801010.0
159825.SZ,20250611,0.723,0.721,0.733,0.72,0.731,0.008,1.1065,1133398.02,82575.018,801010.0
159825.SZ,20250610,0.722,0.724,0.726,0.715,0.723,0.001,0.1385,1216907.0,87801.783,801010.0
159825.SZ,20250609,0.711,0.709,0.724,0.709,0.722,0.011,1.5471,1002299.01,72162.992,801010.0
159825.SZ,20250606,0.706,0.707,0.716,0.706,0.711,0.005,0.7082,878891.03,62575.911,801010.0
159825.SZ,20250605,0.714,0.714,0.715,0.705,0.706,-0.008,-1.1204,594204.0,42103.623,801010.0
159825.SZ,20250604,0.71,0.708,0.715,0.705,0.714,0.004,0.5634,1124754.07,79897.749,801010.0
159825.SZ,20250603,0.7,0.698,0.711,0.695,0.71,0.01,1.4286,1071169.03,75666.501,801010.0
159825.SZ,20250530,0.69,0.688,0.703,0.688,0.7,0.01,1.4493,1559099.99,108951.271,801010.0
159825.SZ,20250529,0.684,0.684,0.69,0.681,0.69,0.006,0.8772,481986.0,33094.403,801010.0
159825.SZ,20250528,0.689,0.69,0.691,0.684,0.684,-0.005,-0.7257,367317.0,25237.32,801010.0
159825.SZ,20250527,0.686,0.685,0.69,0.684,0.689,0.003,0.4373,512214.0,35222.956,801010.0
159825.SZ,20250526,0.684,0.684,0.686,0.681,0.686,0.002,0.2924,500506.0,34227.263,801010.0
159825.SZ,20250523,0.688,0.688,0.692,0.683,0.684,-0.004,-0.5814,695815.0,47910.349,801010.0
159825.SZ,20250522,0.693,0.694,0.694,0.686,0.688,-0.005,-0.7215,520113.0,35847.983,801010.0
159825.SZ,20250521,0.692,0.692,0.695,0.69,0.693,0.001,0.1445,448324.0,31055.819,801010.0
159825.SZ,20250520,0.687,0.687,0.695,0.686,0.692,0.005,0.7278,1035047.13,71564.152,801010.0
159825.SZ,20250519,0.683,0.682,0.687,0.681,0.687,0.004,0.5857,504504.01,34510.821,801010.0
159825.SZ,20250516,0.687,0.687,0.687,0.68,0.683,-0.004,-0.5822,520379.05,35481.85,801010.0
159825.SZ,20250515,0.689,0.688,0.69,0.685,0.687,-0.002,-0.2903,641957.0,44177.248,801010.0
159825.SZ,20250514,0.682,0.682,0.689,0.68,0.689,0.007,1.0264,1024592.52,70237.767,801010.0
159825.SZ,20250513,0.682,0.681,0.684,0.679,0.682,0.0,0.0,782259.0,53292.779,801010.0
159825.SZ,20250512,0.684,0.682,0.685,0.679,0.682,-0.002,-0.2924,817869.99,55729.177,801010.0
159825.SZ,20250509,0.687,0.687,0.69,0.682,0.684,-0.003,-0.4367,1056210.0,72376.141,801010.0
159825.SZ,20250508,0.69,0.688,0.688,0.683,0.687,-0.003,-0.4348,1175719.13,80722.805,801010.0
159825.SZ,20250507,0.687,0.689,0.692,0.685,0.69,0.003,0.4367,1197818.13,82447.832,801010.0
159825.SZ,20250506,0.681,0.682,0.687,0.682,0.687,0.006,0.8811,903337.19,61831.911,801010.0
159825.SZ,20250430,0.683,0.682,0.687,0.68,0.681,-0.002,-0.2928,660680.03,45105.177,801010.0
159825.SZ,20250429,0.681,0.68,0.684,0.677,0.683,0.002,0.2937,543082.0,37013.843,801010.0
159825.SZ,20250428,0.687,0.687,0.687,0.68,0.681,-0.006,-0.8734,677288.0,46241.574,801010.0
159825.SZ,20250425,0.689,0.688,0.692,0.685,0.687,-0.002,-0.2903,809343.0,55666.422,801010.0
159825.SZ,20250424,0.685,0.685,0.695,0.685,0.689,0.004,0.5839,1181990.0,81580.585,801010.0
159825.SZ,20250423,0.695,0.693,0.695,0.684,0.685,-0.01,-1.4388,1510797.0,103842.65,801010.0
159825.SZ,20250422,0.688,0.688,0.698,0.687,0.695,0.007,1.0174,2099869.07,145726.841,801010.0
159825.SZ,20250421,0.685,0.682,0.689,0.681,0.688,0.003,0.438,1050048.0,71944.745,801010.0
159825.SZ,20250418,0.692,0.691,0.692,0.682,0.685,-0.007,-1.0116,1741143.0,119274.9,801010.0
159825.SZ,20250417,0.693,0.691,0.695,0.685,0.692,-0.001,-0.1443,1286127.02,88959.999,801010.0
159825.SZ,20250416,0.695,0.691,0.694,0.682,0.693,-0.002,-0.2878,2312950.0,159516.722,801010.0
159825.SZ,20250415,0.701,0.699,0.699,0.69,0.695,-0.006,-0.8559,1916911.01,133036.866,801010.0
159825.SZ,20250414,0.697,0.692,0.703,0.691,0.701,0.004,0.5739,2836106.35,198218.906,801010.0
159825.SZ,20250411,0.716,0.709,0.709,0.692,0.697,-0.019,-2.6536,3936588.67,274806.44,801010.0
159825.SZ,20250410,0.711,0.69,0.72,0.682,0.716,0.005,0.7032,8003464.34,565751.963,801010.0
159825.SZ,20250409,0.715,0.723,0.73,0.691,0.711,-0.004,-0.5594,10121926.34,721659.854,801010.0
