ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000019.SZ,2022-07-21,7.55,7.62,7.5,7.52,7.58,-0.06,-0.7916,54277.11,40987.256
000019.SZ,2022-07-22,7.49,7.58,7.44,7.49,7.52,-0.03,-0.3989,52399.4,39352.293
000019.SZ,2022-07-25,7.45,7.55,7.43,7.52,7.49,0.03,0.4005,46116.74,34590.818
000019.SZ,2022-07-26,7.49,7.71,7.47,7.67,7.52,0.15,1.9947,84549.37,64248.567
000019.SZ,2022-07-27,7.67,7.73,7.6,7.67,7.67,0.0,0.0,56294.67,43026.655
000019.SZ,2022-07-28,7.66,7.74,7.66,7.69,7.67,0.02,0.2608,66950.96,51537.612
000019.SZ,2022-07-29,7.72,7.99,7.65,7.82,7.69,0.13,1.6905,145817.05,113906.739
000019.SZ,2022-08-01,7.7,7.77,7.58,7.67,7.82,-0.15,-1.9182,101572.17,77728.603
000019.SZ,2022-08-02,7.62,8.18,7.52,8.08,7.67,0.41,5.3455,383063.25,303671.852
000019.SZ,2022-08-03,8.0,8.1,7.74,7.94,8.08,-0.14,-1.7327,253810.99,201415.608
000019.SZ,2022-08-04,7.95,7.95,7.71,7.81,7.94,-0.13,-1.6373,156263.28,121942.61
000019.SZ,2022-08-05,7.77,7.89,7.72,7.84,7.81,0.03,0.3841,110661.72,86534.99
000019.SZ,2022-08-08,7.8,7.88,7.74,7.79,7.84,-0.05,-0.6378,89704.64,69816.794
000019.SZ,2022-08-09,7.76,7.77,7.58,7.6,7.79,-0.19,-2.439,127310.91,97152.28
000019.SZ,2022-08-10,7.55,7.6,7.47,7.49,7.6,-0.11,-1.4474,87653.26,65817.272
000019.SZ,2022-08-11,7.54,7.6,7.49,7.6,7.49,0.11,1.4686,82253.9,62130.341
000019.SZ,2022-08-12,7.56,7.63,7.54,7.63,7.6,0.03,0.3947,59690.25,45314.75
000019.SZ,2022-08-15,7.64,7.78,7.64,7.71,7.63,0.08,1.0485,100867.47,77759.961
000019.SZ,2022-08-16,7.69,7.76,7.64,7.76,7.71,0.05,0.6485,89937.14,69318.133
000019.SZ,2022-08-17,7.76,7.91,7.7,7.79,7.76,0.03,0.3866,108661.2,84863.937
000019.SZ,2022-08-18,7.79,7.81,7.66,7.71,7.79,-0.08,-1.027,66025.8,50838.082
000019.SZ,2022-08-19,7.72,7.88,7.7,7.79,7.71,0.08,1.0376,125894.43,98409.519
000019.SZ,2022-08-22,7.77,8.13,7.77,7.98,7.79,0.19,2.439,174027.26,139064.154
000019.SZ,2022-08-23,7.99,8.05,7.86,8.03,7.98,0.05,0.6266,144668.98,115448.552
000019.SZ,2022-08-24,8.01,8.37,7.99,8.1,8.03,0.07,0.8717,356606.27,291515.219
000019.SZ,2022-08-25,8.02,8.21,8.0,8.13,8.1,0.03,0.3704,190624.92,154607.728
000019.SZ,2022-08-26,8.13,8.16,7.96,8.03,8.13,-0.1,-1.23,152867.65,123029.742
000019.SZ,2022-08-29,7.95,8.11,7.91,8.09,8.03,0.06,0.7472,117270.7,94444.458
000019.SZ,2022-08-30,8.08,8.19,7.97,8.04,8.09,-0.05,-0.618,118560.1,95550.101
000019.SZ,2022-08-31,8.03,8.06,7.81,7.86,8.04,-0.18,-2.2388,115757.13,91423.743
000019.SZ,2022-09-01,7.86,8.12,7.85,8.0,7.86,0.14,1.7812,152946.38,122886.532
000019.SZ,2022-09-02,8.02,8.08,7.93,8.06,8.0,0.06,0.75,118306.18,95008.374
000019.SZ,2022-09-05,8.03,8.13,7.89,8.03,8.06,-0.03,-0.3722,107694.65,85896.002
000019.SZ,2022-09-06,8.08,8.14,8.0,8.13,8.03,0.1,1.2453,142948.47,115666.682
000019.SZ,2022-09-07,8.06,8.11,7.94,7.97,8.13,-0.16,-1.968,116999.24,93825.61
000019.SZ,2022-09-08,8.05,8.07,7.67,7.7,7.97,-0.27,-3.3877,162387.25,126960.014
000019.SZ,2022-09-09,7.79,7.85,7.56,7.64,7.7,-0.06,-0.7792,120788.72,92515.57
000019.SZ,2022-09-13,7.78,7.96,7.71,7.84,7.64,0.2,2.6178,172243.26,134933.075
000019.SZ,2022-09-14,7.72,7.81,7.63,7.67,7.84,-0.17,-2.1684,98130.4,75521.66
000019.SZ,2022-09-15,7.67,7.7,7.36,7.46,7.67,-0.21,-2.7379,118814.44,89177.125
000019.SZ,2022-09-16,7.45,7.5,7.21,7.22,7.46,-0.24,-3.2172,78636.22,57750.762
000019.SZ,2022-09-19,7.29,7.29,7.1,7.17,7.22,-0.05,-0.6925,59506.4,42649.918
000019.SZ,2022-09-20,7.2,7.25,7.17,7.22,7.17,0.05,0.6974,46400.37,33455.598
000019.SZ,2022-09-21,7.18,7.32,7.11,7.29,7.22,0.07,0.9695,58594.9,42305.829
000019.SZ,2022-09-22,7.2,7.4,7.18,7.27,7.29,-0.02,-0.2743,69816.83,50925.299
000019.SZ,2022-09-23,7.27,7.39,7.14,7.16,7.27,-0.11,-1.5131,67068.32,48661.572
000019.SZ,2022-09-26,7.04,7.05,6.86,6.86,7.16,-0.3,-4.1899,72500.2,50429.901
000019.SZ,2022-09-27,6.91,7.04,6.86,7.03,6.86,0.17,2.4781,50227.74,34903.943
000019.SZ,2022-09-28,7.02,7.05,6.87,6.89,7.03,-0.14,-1.9915,36335.05,25234.073
